bin_lower,bin_upper,count,avg_prob,win_rate
0.0,0.1,59,0.019731075958045984,0.5932203389830508
0.1,0.2,53,0.16254374586780562,0.5660377358490566
0.2,0.3,91,0.25153307969801186,0.5384615384615384
0.3,0.4,249,0.3551827319669343,0.5502008032128514
0.4,0.5,472,0.45481278723886237,0.4851694915254237
0.5,0.6,904,0.5464140866881083,0.5066371681415929
0.6,0.7,726,0.6449547875726431,0.5771349862258953
0.7,0.8,367,0.7389671773024357,0.5749318801089919
0.8,0.9,166,0.8421866844057112,0.6144578313253012
0.9,1.0,184,0.9526883694759115,0.5869565217391305
