prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,pick,odds,injury_status,injury_source,injury_detail
231fe865ee873acd:points:8.5:under,231fe865ee873acd,Herb Jones,points,under,8.5,1c1113912a8210cba841d63b5df059fe,New Orleans Pelicans,Dallas Mavericks,2025-12-23 01:10:00+00:00,NOP,,,57,False,2.04,0.8494,1.0,0.4979,0.3211,0.559,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 1.0, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-112,,,
231fe865ee873acd:pra:14.5:under,231fe865ee873acd,Herb Jones,pra,under,14.5,1c1113912a8210cba841d63b5df059fe,New Orleans Pelicans,Dallas Mavericks,2025-12-23 01:10:00+00:00,NOP,,,57,False,8.16,0.8551,0.9991,0.5192,0.2995,0.5681,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 1.0, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-125,,,
231fe865ee873acd:points:9.5:under,231fe865ee873acd,Herb Jones,points,under,9.5,1c1113912a8210cba841d63b5df059fe,New Orleans Pelicans,Dallas Mavericks,2025-12-23 01:10:00+00:00,NOP,,,57,False,2.04,0.862,1.0,0.5399,0.2839,0.5792,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 1.0, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-137,,,
3e873fa1da1e572b:rebounds:8.5:under,3e873fa1da1e572b,Chet Holmgren,rebounds,under,8.5,0b90d514df504b11dc74b7e961b9e277,Oklahoma City Thunder,Memphis Grizzlies,2025-12-23 02:40:00+00:00,OKC,,,4,False,7.2,0.7552,0.8551,0.5221,0.1957,0.4104,LOW,"{'minutes_trend': 0.9437, 'usage_trend': 1.0034, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-127,QUESTIONABLE,NBA Official Report,Injury/Illness - Low Back; Spasms
56e46e859e224d01:pra:13.5:under,56e46e859e224d01,Cason Wallace,pra,under,13.5,0b90d514df504b11dc74b7e961b9e277,Oklahoma City Thunder,Memphis Grizzlies,2025-12-23 02:40:00+00:00,OKC,,,4,False,9.55,0.714,0.8101,0.4897,0.1925,0.428,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-109,,,
4e45d282ab40fb92:threes:2.5:over,4e45d282ab40fb92,Cam Spencer,threes,over,2.5,0b90d514df504b11dc74b7e961b9e277,Oklahoma City Thunder,Memphis Grizzlies,2025-12-23 02:40:00+00:00,,,,3,False,4.21,0.7547,0.8323,0.5735,0.1408,0.5094,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0094, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-159,,,
8a59c926ad0214ec:rebounds:2.5:over,8a59c926ad0214ec,Darius Garland,rebounds,over,2.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,4,False,4.07,0.7783,0.8532,0.6037,0.1329,0.5567,MEDIUM,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-182,,,
56e46e859e224d01:rebounds:3.5:under,56e46e859e224d01,Cason Wallace,rebounds,under,3.5,0b90d514df504b11dc74b7e961b9e277,Oklahoma City Thunder,Memphis Grizzlies,2025-12-23 02:40:00+00:00,OKC,,,4,False,2.16,0.7579,0.8306,0.5884,0.1283,0.5158,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-170,,,
18b51ba0144cbe14:rebounds:5.5:over,18b51ba0144cbe14,Isaiah Jackson,rebounds,over,5.5,810ac6d569078de0087ad1d714771a6a,Boston Celtics,Indiana Pacers,2025-12-23 00:40:00+00:00,,,,3,False,8.39,0.7205,0.79,0.5585,0.1238,0.4411,LOW,"{'minutes_trend': 0.9408, 'usage_trend': 1.15, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-148,,,
1632dad36b5e936c:threes:1.5:under,1632dad36b5e936c,Dean Wade,threes,under,1.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,4,False,0.85,0.7037,0.7433,0.6113,0.0485,0.4074,LOW,"{'minutes_trend': 1.0449, 'usage_trend': 0.9025, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-190,,,
a168fb201860affc:assists:2.5:under,a168fb201860affc,Bennedict Mathurin,assists,under,2.5,810ac6d569078de0087ad1d714771a6a,Boston Celtics,Indiana Pacers,2025-12-23 00:40:00+00:00,IND,,,3,False,1.84,0.7102,0.7459,0.6269,0.0435,0.4204,LOW,"{'minutes_trend': 1.0125, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",UNDER,-200,,,
