Player,Prop,Line,Side,Proj,Edge,P(Win),Game
Jalen Williams,threes,1.5,UNDER,0.6,47.6,100.0,Phoenix Suns @ Oklahoma City Thunder
Keldon Johnson,rebounds,5.5,OVER,6.5,34.3,86.7,San Antonio Spurs @ Los Angeles Lakers
Stephon Castle,rebounds,4.5,OVER,5.8,33.3,85.7,San Antonio Spurs @ Los Angeles Lakers
Rui Hachimura,points,11.5,OVER,11.4,27.6,80.0,San Antonio Spurs @ Los Angeles Lakers
Isaiah Joe,threes,1.5,OVER,2.2,27.6,80.0,Phoenix Suns @ Oklahoma City Thunder
Isaiah Joe,points,7.5,OVER,10.3,27.6,80.0,Phoenix Suns @ Oklahoma City Thunder
Mark Williams,points,9.5,OVER,15.3,27.6,80.0,Phoenix Suns @ Oklahoma City Thunder
Shai Gilgeous-Alexander,threes,1.5,OVER,2.2,27.6,80.0,Phoenix Suns @ Oklahoma City Thunder
Rui Hachimura,threes,1.5,OVER,2.0,27.6,80.0,San Antonio Spurs @ Los Angeles Lakers
Julian Champagnie,threes,1.5,OVER,2.6,27.6,80.0,San Antonio Spurs @ Los Angeles Lakers
Stephon Castle,threes,1.5,UNDER,0.7,26.2,78.6,San Antonio Spurs @ Los Angeles Lakers
Aaron Wiggins,points,9.5,OVER,14.2,24.5,76.9,Phoenix Suns @ Oklahoma City Thunder
Alex Caruso,rebounds,2.5,UNDER,2.9,21.0,73.3,Phoenix Suns @ Oklahoma City Thunder
Luke Kornet,rebounds,7.5,UNDER,6.4,21.0,73.3,San Antonio Spurs @ Los Angeles Lakers
Royce O'Neale,threes,2.5,OVER,2.4,21.0,73.3,Phoenix Suns @ Oklahoma City Thunder
De'Aaron Fox,points,22.5,OVER,25.0,21.0,73.3,San Antonio Spurs @ Los Angeles Lakers
De'Aaron Fox,points,23.5,OVER,25.0,21.0,73.3,San Antonio Spurs @ Los Angeles Lakers
Cason Wallace,rebounds,3.5,UNDER,3.4,21.0,73.3,Phoenix Suns @ Oklahoma City Thunder
Royce O'Neale,points,8.5,OVER,9.1,21.0,73.3,Phoenix Suns @ Oklahoma City Thunder
Dillon Brooks,rebounds,3.5,UNDER,2.9,21.0,73.3,Phoenix Suns @ Oklahoma City Thunder
Rui Hachimura,rebounds,4.5,UNDER,3.9,21.0,73.3,San Antonio Spurs @ Los Angeles Lakers
Royce O'Neale,rebounds,4.5,OVER,5.7,21.0,73.3,Phoenix Suns @ Oklahoma City Thunder
Stephon Castle,points,15.5,OVER,16.0,19.0,71.4,San Antonio Spurs @ Los Angeles Lakers
LeBron James,points,17.5,UNDER,16.7,19.0,71.4,San Antonio Spurs @ Los Angeles Lakers
LeBron James,points,18.5,UNDER,16.7,19.0,71.4,San Antonio Spurs @ Los Angeles Lakers
Marcus Smart,points,6.5,OVER,8.6,19.0,71.4,San Antonio Spurs @ Los Angeles Lakers
Alex Caruso,points,4.5,OVER,5.4,14.3,66.7,Phoenix Suns @ Oklahoma City Thunder
Luguentz Dort,points,7.5,UNDER,7.6,14.3,66.7,Phoenix Suns @ Oklahoma City Thunder
Mark Williams,points,10.5,OVER,15.3,14.3,66.7,Phoenix Suns @ Oklahoma City Thunder
De'Aaron Fox,rebounds,3.5,OVER,3.9,14.3,66.7,San Antonio Spurs @ Los Angeles Lakers
Deandre Ayton,points,13.5,OVER,14.5,14.3,66.7,San Antonio Spurs @ Los Angeles Lakers
Luguentz Dort,threes,1.5,UNDER,1.7,14.3,66.7,Phoenix Suns @ Oklahoma City Thunder
Dillon Brooks,threes,2.5,UNDER,1.8,14.3,66.7,Phoenix Suns @ Oklahoma City Thunder
Austin Reaves,points,23.5,OVER,28.1,14.3,66.7,San Antonio Spurs @ Los Angeles Lakers
Julian Champagnie,points,9.5,OVER,11.7,14.3,66.7,San Antonio Spurs @ Los Angeles Lakers
Devin Vassell,points,14.5,OVER,17.1,14.3,66.7,San Antonio Spurs @ Los Angeles Lakers
Jake LaRavia,points,4.5,OVER,6.9,14.3,66.7,San Antonio Spurs @ Los Angeles Lakers
Keldon Johnson,points,11.5,OVER,14.8,14.3,66.7,San Antonio Spurs @ Los Angeles Lakers
Luka Doncic,points,32.5,OVER,35.1,14.3,66.7,San Antonio Spurs @ Los Angeles Lakers
Marcus Smart,rebounds,1.5,OVER,2.5,11.9,64.3,San Antonio Spurs @ Los Angeles Lakers
Stephon Castle,threes,0.5,OVER,0.7,11.9,64.3,San Antonio Spurs @ Los Angeles Lakers
Dylan Harper,points,12.5,OVER,13.8,9.2,61.5,San Antonio Spurs @ Los Angeles Lakers
Dylan Harper,rebounds,2.5,OVER,2.6,9.2,61.5,San Antonio Spurs @ Los Angeles Lakers
Dylan Harper,threes,0.5,OVER,0.6,9.2,61.5,San Antonio Spurs @ Los Angeles Lakers
Devin Vassell,rebounds,3.5,UNDER,3.7,7.6,60.0,San Antonio Spurs @ Los Angeles Lakers
Chet Holmgren,points,17.5,OVER,19.5,7.6,60.0,Phoenix Suns @ Oklahoma City Thunder
Shai Gilgeous-Alexander,points,31.5,OVER,34.1,7.6,60.0,Phoenix Suns @ Oklahoma City Thunder
Jalen Williams,rebounds,5.5,UNDER,5.2,7.6,60.0,Phoenix Suns @ Oklahoma City Thunder
Deandre Ayton,rebounds,8.5,OVER,10.2,7.6,60.0,San Antonio Spurs @ Los Angeles Lakers
Mark Williams,rebounds,7.5,UNDER,8.7,7.6,60.0,Phoenix Suns @ Oklahoma City Thunder
Luka Doncic,points,33.5,OVER,35.1,7.6,60.0,San Antonio Spurs @ Los Angeles Lakers
Luguentz Dort,rebounds,3.5,OVER,3.0,7.6,60.0,Phoenix Suns @ Oklahoma City Thunder
Chet Holmgren,rebounds,8.5,UNDER,8.2,7.6,60.0,Phoenix Suns @ Oklahoma City Thunder
Harrison Barnes,threes,2.5,UNDER,2.6,7.6,60.0,San Antonio Spurs @ Los Angeles Lakers
De'Aaron Fox,threes,2.5,UNDER,2.5,7.6,60.0,San Antonio Spurs @ Los Angeles Lakers
Grayson Allen,threes,2.5,OVER,2.5,7.6,60.0,Phoenix Suns @ Oklahoma City Thunder
Chet Holmgren,threes,1.5,UNDER,1.2,7.6,60.0,Phoenix Suns @ Oklahoma City Thunder
Luka Doncic,rebounds,8.5,OVER,9.9,7.6,60.0,San Antonio Spurs @ Los Angeles Lakers
Austin Reaves,rebounds,4.5,OVER,4.9,7.6,60.0,San Antonio Spurs @ Los Angeles Lakers
Devin Booker,threes,1.5,UNDER,1.4,7.6,60.0,Phoenix Suns @ Oklahoma City Thunder
Cason Wallace,rebounds,2.5,UNDER,3.4,7.6,60.0,Phoenix Suns @ Oklahoma City Thunder
Luke Kornet,points,7.5,UNDER,6.6,7.6,60.0,San Antonio Spurs @ Los Angeles Lakers
Julian Champagnie,rebounds,4.5,UNDER,5.5,7.6,60.0,San Antonio Spurs @ Los Angeles Lakers
Oso Ighodaro,points,4.5,UNDER,6.1,7.6,60.0,Phoenix Suns @ Oklahoma City Thunder
Jalen Williams,points,18.5,UNDER,17.8,7.6,60.0,Phoenix Suns @ Oklahoma City Thunder
