date,game,player,prop,line,pick,actual,result
2025-12-10,PHX@OKC,Marcus Smart,PTS,5.5,OVER,26,WIN
2025-12-10,PHX@OKC,Grayson Allen,REB,3.5,UNDER,1,WIN
2025-12-10,PHX@OKC,Aaron Wiggins,PTS,9.5,OVER,6,LOSS
2025-12-10,PHX@OKC,Jordan Goodwin,PTS,7.5,OVER,15,WIN
2025-12-10,PHX@OKC,Jordan Goodwin,REB,3.5,OVER,3,LOSS
2025-12-10,PHX@OKC,Shai Gilgeous-Alexander,PTS,30.5,UNDER,28,WIN
2025-12-10,PHX@OKC,Chet Holmgren,PTS,16.5,OVER,24,WIN
2025-12-10,PHX@OKC,Chet Holmgren,REB,8.5,UNDER,8,WIN
2025-12-10,PHX@OKC,Jalen Williams,PTS,19.5,UNDER,15,WIN
2025-12-10,SAS@LAL,Keldon Johnson,REB,4.5,OVER,8,WIN
2025-12-10,SAS@LAL,Stephon Castle,AST,5.5,OVER,6,WIN
2025-12-10,SAS@LAL,Keldon Johnson,PTS,10.5,OVER,17,WIN
2025-12-10,SAS@LAL,Devin Vassell,PTS,13.5,OVER,8,LOSS
2025-12-10,SAS@LAL,Austin Reaves,REB,4.5,OVER,8,WIN
2025-12-10,SAS@LAL,Austin Reaves,PTS,23.5,OVER,15,LOSS
2025-12-10,SAS@LAL,Luka Dončić,PTS,32.5,OVER,35,WIN
2025-12-10,SAS@LAL,Luka Dončić,AST,8.5,UNDER,8,WIN
2025-12-10,SAS@LAL,LeBron James,PTS,18.5,UNDER,19,LOSS
2025-12-10,SAS@LAL,LeBron James,REB,5.5,OVER,15,WIN
2025-12-10,SAS@LAL,De'Aaron Fox,PTS,22.5,OVER,20,LOSS
